ID,OneHotEncoder,LetterComposition
0,[0 0 0 ... 0 0 1],"[0.10465116 0.         0.02325581 0.05813953 0.07364341 0.01162791
 0.04651163 0.02713178 0.04263566 0.         0.07751938 0.09689922
 0.01937984 0.06589147 0.         0.04263566 0.03875969 0.05426357
 0.05813953 0.05813953 0.06976744 0.00775194 0.02325581 0.        ]"
1,[0 0 0 ... 0 0 1],"[0.11952191 0.         0.03984064 0.05179283 0.05577689 0.01593625
 0.05577689 0.02788845 0.05577689 0.         0.07171315 0.10358566
 0.02788845 0.06374502 0.         0.02390438 0.03187251 0.05179283
 0.04780876 0.04780876 0.07569721 0.00796813 0.02390438 0.        ]"
2,[0 0 0 ... 0 0 1],"[0.06258597 0.         0.01719395 0.04539202 0.05570839 0.04607978
 0.06671252 0.01650619 0.04470426 0.         0.05364512 0.09903714
 0.0213205  0.04126547 0.         0.05845942 0.05639615 0.02888583
 0.08390646 0.06946355 0.0784044  0.01169188 0.04264099 0.        ]"
3,[0 0 0 ... 0 0 1],"[0.06957425 0.         0.01765317 0.04569055 0.05088266 0.04257529
 0.06645898 0.01661475 0.04776739 0.         0.05503634 0.10280374
 0.02284528 0.03634476 0.         0.05711319 0.05711319 0.02699896
 0.09449637 0.06853583 0.07061267 0.01349948 0.03738318 0.        ]"
4,[0 0 0 ... 0 0 1],"[0.08181818 0.         0.02337662 0.06493506 0.11948052 0.02727273
 0.04935065 0.03246753 0.03116883 0.         0.05324675 0.07272727
 0.03116883 0.04025974 0.         0.04545455 0.04675325 0.04805195
 0.04545455 0.06493506 0.08441558 0.01168831 0.02597403 0.        ]"
5,[0 0 0 ... 0 0 1],"[0.08450704 0.         0.01408451 0.06729264 0.12832551 0.02503912
 0.03912363 0.03755869 0.0312989  0.         0.05477308 0.07511737
 0.02816901 0.03755869 0.         0.04381847 0.04538341 0.05007825
 0.04381847 0.06416275 0.09389671 0.01095462 0.02503912 0.        ]"
6,[0 0 0 ... 0 0 1],"[0.07640751 0.         0.02412869 0.06836461 0.12198391 0.02949062
 0.04959786 0.03351206 0.03485255 0.         0.05227882 0.06568365
 0.0308311  0.04289544 0.         0.04289544 0.04691689 0.04691689
 0.04423592 0.06300268 0.08713137 0.01072386 0.02815013 0.        ]"
7,[0 0 0 ... 0 0 1],"[0.07540984 0.         0.03934426 0.0852459  0.14098361 0.01967213
 0.0557377  0.0295082  0.02622951 0.         0.04590164 0.07540984
 0.02295082 0.0295082  0.         0.03934426 0.03278689 0.03278689
 0.03934426 0.07540984 0.0852459  0.02622951 0.02295082 0.        ]"
8,[0 0 0 ... 0 0 1],"[0.07976366 0.         0.01772526 0.06646972 0.12407681 0.02511078
 0.04431315 0.03692762 0.03397341 0.         0.05612999 0.07533235
 0.0310192  0.04135894 0.         0.04135894 0.04874446 0.04431315
 0.04431315 0.06351551 0.08862629 0.01181684 0.02511078 0.        ]"
9,[0 0 0 ... 0 0 1],"[0.08201439 0.         0.01726619 0.0676259  0.12230216 0.02446043
 0.04460432 0.03597122 0.03309353 0.         0.05467626 0.07482014
 0.03021583 0.04028777 0.         0.04460432 0.04748201 0.04748201
 0.04316547 0.0647482  0.08920863 0.01151079 0.02446043 0.        ]"
10,[0 0 0 ... 0 0 1],"[0.07902299 0.         0.01724138 0.06609195 0.12212644 0.02442529
 0.04310345 0.03591954 0.03304598 0.         0.05747126 0.07902299
 0.03017241 0.04022989 0.         0.04310345 0.05028736 0.04454023
 0.04597701 0.06465517 0.08764368 0.01149425 0.02442529 0.        ]"
11,[0 0 0 ... 0 0 1],"[0.08123249 0.         0.01680672 0.06722689 0.12044818 0.02380952
 0.04341737 0.03501401 0.03221289 0.         0.05602241 0.07843137
 0.02941176 0.03921569 0.         0.04621849 0.04901961 0.04761905
 0.04481793 0.06582633 0.08823529 0.01120448 0.02380952 0.        ]"
12,[0 0 0 ... 0 0 1],"[0.08049113 0.         0.02455662 0.06412005 0.12278308 0.02864939
 0.05047749 0.03410641 0.03410641 0.         0.053206   0.06957708
 0.0313779  0.04229195 0.         0.04092769 0.04638472 0.04502046
 0.04502046 0.0627558  0.0845839  0.01227831 0.02728513 0.        ]"
13,[0 0 0 ... 0 0 1],"[0.08255659 0.         0.02396804 0.06524634 0.12117177 0.02796272
 0.0505992  0.03328895 0.03328895 0.         0.05193076 0.06924101
 0.03062583 0.0412783  0.         0.04394141 0.04527297 0.04793609
 0.04394141 0.06391478 0.08521971 0.01198402 0.02663116 0.        ]"
14,[0 0 0 ... 0 0 1],"[0.07978723 0.         0.02393617 0.06382979 0.12101064 0.02792553
 0.04920213 0.03324468 0.03191489 0.         0.05452128 0.0731383
 0.03191489 0.0412234  0.         0.04255319 0.04787234 0.04521277
 0.04654255 0.06382979 0.0837766  0.01196809 0.02659574 0.        ]"
15,[0 0 0 ... 0 0 1],"[0.07532468 0.         0.02337662 0.06363636 0.11948052 0.02727273
 0.05194805 0.03246753 0.03116883 0.         0.05454545 0.07272727
 0.02987013 0.03896104 0.         0.04675325 0.04675325 0.04415584
 0.04675325 0.06883117 0.08961039 0.01168831 0.02467532 0.        ]"
16,[0 0 0 ... 0 0 1],"[0.07913669 0.         0.01726619 0.0647482  0.12230216 0.02446043
 0.04748201 0.03597122 0.03309353 0.         0.05611511 0.07482014
 0.03021583 0.03884892 0.         0.04460432 0.04748201 0.04460432
 0.04316547 0.0676259  0.09352518 0.01151079 0.02302158 0.        ]"
17,[0 0 0 ... 0 0 1],"[0.07482993 0.         0.0244898  0.06122449 0.12244898 0.02857143
 0.05442177 0.03401361 0.03265306 0.         0.05306122 0.06938776
 0.03129252 0.04081633 0.         0.04217687 0.0462585  0.0462585
 0.04489796 0.06394558 0.09251701 0.0122449  0.0244898  0.        ]"
18,[0 0 0 ... 0 0 1],"[0.06157113 0.         0.03184713 0.04246285 0.03821656 0.05307856
 0.03821656 0.01273885 0.07218684 0.         0.05732484 0.12101911
 0.03184713 0.05944798 0.         0.02972399 0.03821656 0.02760085
 0.11252654 0.05732484 0.07006369 0.014862   0.02972399 0.        ]"
19,[0 0 0 ... 0 0 1],"[0.05426357 0.         0.03875969 0.04134367 0.04392765 0.05943152
 0.03617571 0.01808786 0.07235142 0.         0.0749354  0.09302326
 0.02583979 0.04909561 0.         0.03617571 0.05167959 0.03100775
 0.10594315 0.04392765 0.07235142 0.01550388 0.03617571 0.        ]"
20,[0 0 0 ... 0 0 1],"[0.05263158 0.         0.07894737 0.03947368 0.09210526 0.05263158
 0.09210526 0.         0.01315789 0.         0.03947368 0.03947368
 0.03947368 0.03947368 0.         0.05263158 0.02631579 0.07894737
 0.06578947 0.07894737 0.06578947 0.01315789 0.03947368 0.        ]"
21,[0 0 0 ... 0 0 1],"[0.08870968 0.         0.00806452 0.08064516 0.09677419 0.02016129
 0.04032258 0.00403226 0.03629032 0.         0.07258065 0.10080645
 0.02419355 0.04032258 0.         0.02419355 0.05645161 0.05645161
 0.0766129  0.05241935 0.06048387 0.00806452 0.05241935 0.        ]"
22,[0 0 0 ... 0 0 1],"[0.09274194 0.         0.00806452 0.0766129  0.10080645 0.02016129
 0.03629032 0.00403226 0.03629032 0.         0.0766129  0.10080645
 0.02419355 0.04435484 0.         0.02419355 0.05241935 0.05645161
 0.07258065 0.05241935 0.06048387 0.00806452 0.05241935 0.        ]"
23,[0 0 0 ... 0 0 1],"[0.09677419 0.         0.00806452 0.06854839 0.10483871 0.02016129
 0.03629032 0.00806452 0.04032258 0.         0.0766129  0.09677419
 0.02419355 0.04032258 0.         0.02419355 0.0483871  0.06048387
 0.07258065 0.05241935 0.06048387 0.00806452 0.05241935 0.        ]"
24,[0 0 0 ... 0 0 1],"[0.0501002  0.         0.02204409 0.06412826 0.06813627 0.04809619
 0.04008016 0.0240481  0.07014028 0.         0.0741483  0.06813627
 0.01803607 0.06813627 0.         0.05611222 0.03006012 0.05410822
 0.08416834 0.06012024 0.05811623 0.01603206 0.0260521  0.        ]"
25,[0 0 0 ... 0 0 1],"[0.05191874 0.         0.0248307  0.06997743 0.0744921  0.05191874
 0.03837472 0.02708804 0.06997743 0.         0.07674944 0.06997743
 0.01354402 0.06772009 0.         0.03837472 0.0248307  0.05191874
 0.08577878 0.05417607 0.06320542 0.01580135 0.02934537 0.        ]"
26,[0 0 0 ... 0 0 1],"[0.07922078 0.         0.02337662 0.06493506 0.11948052 0.02727273
 0.04935065 0.03246753 0.03116883 0.         0.05324675 0.07142857
 0.03116883 0.04025974 0.         0.04545455 0.04545455 0.05064935
 0.04545455 0.06623377 0.08571429 0.01168831 0.02597403 0.        ]"
27,[0 0 0 ... 0 0 1],"[0.07983193 0.         0.01680672 0.06722689 0.12044818 0.02380952
 0.04341737 0.03501401 0.03221289 0.         0.05602241 0.07703081
 0.02941176 0.03921569 0.         0.04621849 0.04761905 0.05042017
 0.04481793 0.06722689 0.08823529 0.01120448 0.02380952 0.        ]"
28,[0 0 0 ... 0 0 1],"[0.08122503 0.         0.02396804 0.06524634 0.12117177 0.02796272
 0.0505992  0.03328895 0.03328895 0.         0.05193076 0.06924101
 0.03062583 0.0412783  0.         0.04394141 0.04527297 0.04793609
 0.04394141 0.06391478 0.08655126 0.01198402 0.02663116 0.        ]"
29,[0 0 0 ... 0 0 1],"[0.05135952 0.         0.00906344 0.04531722 0.07250755 0.04531722
 0.03021148 0.03323263 0.0694864  0.         0.0694864  0.10574018
 0.01510574 0.04229607 0.         0.04229607 0.02719033 0.03927492
 0.08459215 0.06344411 0.10876133 0.0060423  0.03927492 0.        ]"
30,[0 0 0 ... 0 0 1],"[0.05351171 0.         0.01003344 0.04682274 0.06354515 0.04682274
 0.03344482 0.03344482 0.0735786  0.         0.07692308 0.11705686
 0.01337793 0.0367893  0.         0.0367893  0.02675585 0.04347826
 0.07023411 0.06020067 0.11036789 0.00668896 0.04013378 0.        ]"
31,[0 0 0 ... 0 0 1],"[0.05294118 0.         0.01176471 0.04411765 0.07058824 0.04411765
 0.02941176 0.03235294 0.06764706 0.         0.06764706 0.11176471
 0.01470588 0.04117647 0.         0.04411765 0.02647059 0.04117647
 0.08529412 0.06176471 0.10882353 0.00588235 0.03823529 0.        ]"
32,[0 0 0 ... 0 0 1],"[0.10204082 0.         0.0122449  0.06122449 0.12244898 0.0244898
 0.04489796 0.00408163 0.04081633 0.         0.08163265 0.09795918
 0.02857143 0.04081633 0.         0.01632653 0.05714286 0.04489796
 0.07755102 0.04081633 0.04897959 0.00816327 0.04489796 0.        ]"
